Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,matrix_c1,MatrixC1,1044,817.866,274.766,1092.632,6.977
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,Conv,Conv,6483,8034.138,2978.228,11012.366,100.0
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[0].multip,Multip,596,625.59,245.518,871.108,7.91
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[1].multip,Multip_245,596,625.968,245.518,871.486,7.914
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[2].multip,Multip_244,596,625.842,245.518,871.36,7.913
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,MULTIP_BLOCK[3].multip,Multip_243,596,625.59,245.518,871.108,7.91
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,STREAM_FOUR_MAC_BLOCK.inverse_row_acc,InverseRowAccumulate,361,325.962,138.828,464.79,4.221
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,STREAM_FOUR_MAC_BLOCK.inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.842
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,trf,Transform,968,1401.876,366.811,1768.687,16.061
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.525
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.518
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv,Conv,8874,11220.804,4454.464,15675.268,100.0
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[0].multip,Multip,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[1].multip,Multip_206,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[2].multip,Multip_205,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[3].multip,Multip_204,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[4].multip,Multip_203,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[5].multip,Multip_202,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[6].multip,Multip_201,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,MULTIP_BLOCK[7].multip,Multip_200,565,604.422,236.378,840.8,5.364
Conv2x2-conv-i16-h16-t16-o4-m08-std,inv,Inverse,582,1019.34,248.939,1268.279,8.091
Conv2x2-conv-i16-h16-t16-o4-m08-std,matrix_a0,MatrixA0,194,339.948,65.831,405.779,2.589
